Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Станция (EN)
AGGH;Хониара;Соломоновы Острова;-9,42;160,05;8;Honiara / Henderson
AGGL;Санта-Крус;Соломоновы Острова;-10,70;165,80;23;Santa Cruz
AGGM;Мунда;Соломоновы Острова;-8,33;157,26;6;Munda
ANAU;Науру;Науру;-0,53;166,91;6;Nauru Airport
ANYN;;Науру;-0,55;166,91;6;Nauru
AYBK;;Папуа-Новая Гвинея;-5,42;154,67;2;Buka
AYGA;;Папуа-Новая Гвинея;-6,08;145,39;1609;Goroka
AYGN;;Папуа-Новая Гвинея;-10,31;150,33;19;Gurney/Alotau
AYKV;;Папуа-Новая Гвинея;-2,58;150,81;2;Kavieng
AYMD;Маданг;Папуа-Новая Гвинея;-5,20;145,78;3;Madang
AYMH;;Папуа-Новая Гвинея;-5,82;144,30;1642;Mount Hagen
AYMO;;Папуа-Новая Гвинея;-2,06;147,42;3;Momote
AYNZ;;Папуа-Новая Гвинея;-6,56;146,72;70;Nadzab
AYPY;Морсби;Папуа-Новая Гвинея;-9,44;147,21;44;Moresby
AYTK;;Папуа-Новая Гвинея;-4,34;152,37;9;Rabaul/Tokua
AYWK;Вевак;Папуа-Новая Гвинея;-3,58;143,66;5;Wewak
BGAM;Тасиилак;Гренландия;65,60;322,36;52;Tasiilaq (Ammassalik)
BGAS;Ангисок;Гренландия;59,98;314,79;16;Angisoq
BGAT;Апутитик;Гренландия;67,78;327,70;12;Aputiteeq
BGBW;Нарсарсуак;Гренландия;61,16;314,57;34;Narsarsuaq
BGCO;Нерлерит-Инаат;Гренландия;70,75;337,35;10;Nerlerit Inaat (Constable Pynt)
BGDB;Данебург;Гренландия;74,30;339,78;44;Daneborg
BGDH;Данмарксхавн;Гренландия;76,76;341,33;12;Danmarkshavn
BGEM;Аусиат (Эгедесминде);Гренландия;68,70;307,25;41;Aasiaat (Egedesminde)
BGFH;Паамиут;Гренландия;62,00;310,33;15;Paamiut (Frederikshaab)
BGGD;Грённедаль;Гренландия;61,23;311,89;32;Groennedal
BGGH;Готхоб / Нуук;Гренландия;64,16;308,25;70;Godthaab / Nuuk
BGHB;Сисимиут;Гренландия;66,91;306,33;9;Sisimiut Mittarfia (Holsteinsborg Lufthavn)
BGJH;Куанак;Гренландия;60,71;313,95;34;Qaqortoq (Julianehaab)
BGJN;Илулиссат (Якобсхавн);Гренландия;69,23;308,93;31;Ilulissat (Jakobshavn)
BGKK;Кулусук-Луфтхавн;Гренландия;65,56;322,86;37;Kulusuk Lufthavn
BGKT;Кейп-Тобин;Гренландия;70,41;338,03;41;Cape Tobin Automated Reporting Station
BGPC;Принс-Кристиан-Сунд;Гренландия;60,05;316,83;75;Prins Christian Sund
BGSC;Иттокуортормиит;Гренландия;70,48;338,04;69;Ittoqqortoormiit (Scoresbysund)
BGSF;Кангерлуссуак;Гренландия;67,01;309,31;50;Kangerlussuaq (Sdr. Stroemfjord)
BGTL;Питуффик;Гренландия;76,53;291,29;76;Pituffik (Thule A.B)
BIAR;Акюрейри;Исландия;65,65;341,92;2;Akureyri
BIBD;;Исландия;65,64;336,45;8;Bildudalur
BIBL;Блёндюоус;Исландия;65,66;339,70;23;Blonduos
BIEG;Эгилсстадир;Исландия;65,28;345,59;23;Egilsstadir
BIFM;Фагюрхолсмури;Исландия;63,88;343,35;;Fagurholsmyri
BIGR;Гримсей;Исландия;66,53;341,98;16;Grimsey
BIHN;Акюрнес;Исландия;64,29;344,77;7;Akurnes
BIHU;;Исландия;65,95;342,57;14;Husavik
BIIS;;Исландия;66,05;336,86;2;Isafjordur
BIKF;Кефлавикюрфлюгволлюр;Исландия;63,98;337,39;52;Keflavikurflugvollur
BIKR;;Исландия;65,73;340,42;2;Saudarkrokur
BIPA;;Исландия;65,55;336,03;3;Patreksfjordur
BIRG;Рауфархофн;Исландия;66,45;344,04;8;Raufarhofn
BIRK;Рейкьявик;Исландия;64,12;338,05;13;Reykjavik
BISI;;Исландия;66,13;341,08;3;Siglufjordur
BIST;Стиккисхоульмюр;Исландия;65,08;337,26;8;Stykkisholmur
BIVM;Вестманнаэйяр;Исландия;63,40;339,71;124;Vestmannaeyjar
BIVO;Скьялдтхингсстадир;Исландия;65,70;345,18;48;Skjaldthingsstadir
BKPR;;Сербия и Черногория;42,57;21,03;545;Pristina
CAU4;;Канада;54,04;235,98;678;Vanderhoof
CCQ3;;Канада;45,41;296,53;43;Debert
CCR3;;Канада;46,42;292,37;154;Florenceville
CDT5;;Канада;46,50;295,30;17;Buctouche
CEF4;;Канада;51,26;246,06;1113;Airdrie
CEH6;;Канада;52,33;249,72;669;Provost
CEQ5;;Канада;53,91;241,12;1254;Grande Cache
CER3;;Канада;53,26;245,03;846;Drayton Valley Industrial
CFP7;;Канада;52,83;248,89;685;Wainwright Field 21
CFS6;;Канада;57,14;244,92;472;Loon River
CFX4;;Канада;56,95;242,35;491;Manning
CNB9;;Канада;44,48;280,44;295;Lake Simcoe Rgnl
CNM4;;Канада;43,41;279,06;370;Stratford Mun
CNY3;;Канада;44,44;279,84;222;Collingwood
CNZ3;;Канада;42,30;277,91;198;Chatham Kent
CPZ3;;Канада;44,06;282,66;110;Mountain View
CWAC;Нитинат-Лейк;Канада;48,66;235,16;41;Nitinat Lake Meteorological Aeronautical Presentat
CWAF;о. Руг;Канада;48,08;290,45;5;Ile Rouge Meteorological Aeronautical Presentation
CWAG;Ла-Си;Канада;49,91;304,33;194;La Scie, Nfld.
CWAH;Амерст;Канада;45,85;295,73;23;Amherst, N. S.
CWAJ;Эриеау;Канада;42,25;278,10;178;Erieau Meteorological Aeronautical Presentation Sy
CWAN;Амфитрайт-Пойнт;Канада;48,91;234,45;27;Amphitrite Point
CWAQ;Коронач;Канада;49,05;254,51;756;Coronach Spc
CWAR;Аргентиа;Канада;47,30;306,00;16;Argentia, Nfld
CWAS;Пам-Рокс;Канада;49,48;236,70;;Pam Rocks
CWAV;Сандре;Канада;51,76;245,31;1114;Sundre
CWAX;Ст. Энтони;Канада;51,36;304,36;111;St. Anthony, Nfld.
CWBA;Бнафф;Канада;51,18;244,43;1384;Banff, Alta.
CWBE;Килларней;Канада;45,96;278,51;196;Killarney Meteorological Aeronautical Presentation
CWBG;Биг-Крик;Канада;51,25;236,91;1670;Big Creek
CWBI;Бритт;Канада;45,80;279,46;190;Britt, Ont.
CWBJ;Иннер-Валебакс;Канада;61,91;246,26;165;Inner Whalebacks
CWBK;Карибу-Пойнт;Канада;45,76;297,31;2;Caribou Point Meteorological Aeronautical Presenta
CWBL;о. Бэчлорз;Канада;51,75;260,10;256;Bachelors Island Automated Reporting Station
CWBM;Биверлодж;Канада;55,20;240,60;745;Beaverlodge
CWBO;Брукс;Канада;50,55;248,14;747;Brooks Automatic Weather Reporting System
CWBR;Б, Р;Канада;66,03;268,16;31;B, R
CWBT;Лонге-Пойнт-де-Минган;Канада;50,26;295,76;11;Longue Point De Mingan
CWBV;Бивен-Айленд;Канада;44,81;297,66;10;Beaven Island, N. S.
CWBY;Порт-Менье;Канада;49,83;295,70;53;Port Menier, Que.
CWBZ;Ст. Анисет;Канада;45,11;285,71;49;St Anicet
CWCA;Картрайт;Канада;53,70;302,96;14;Cartwright
CWCD;Саскатун Кернен Фарм;Канада;52,15;253,45;510;Saskatoon Kernen
CWCH;Атикокан;Канада;48,76;268,36;424;Atikokan Automated Reporting Station
CWCI;о. Карибу;Канада;47,33;274,16;187;Caribou Island, Ont.
CWCJ;Пукасква;Канада;48,60;273,70;206;Pukaskwa
CWCL;Клинтон;Канада;51,15;238,50;1057;Clinton, B. C.
CWCM;Карберри;Канада;49,90;260,64;384;Carberry Mcdc
CWCO;Коллингвуд;Канада;44,50;279,78;180;Collingwood Automatic Weather Reporting System
CWCU;Барри;Канада;44,38;280,21;295;Barrie, Ont.
CWCX;Клут-Лейк;Канада;66,00;242,23;185;Clut Lake Automated Reporting Station
CWDA;Энгли;Канада;50,71;303,88;29;Englee Meteorological Aeronautical Presentation Sy
CWDC;Ураниум-Сити;Канада;59,56;251,51;318;Uranium City, Sask.
CWDE;Лак-Бенойт;Канада;51,55;288,88;549;Lac Benoit
CWDF;Олифант;Канада;44,73;278,71;182;Oliphant / Ont
CWDH;Даниелз-Харбор;Канада;50,23;302,41;19;Daniel's Harbour, Nfld
CWDI;Бэджер;Канада;48,96;303,93;105;Badger, Nfld
CWDJ;Реджайна, унив.;Канада;50,40;255,41;573;Regina University
CWDK;Кларесхолм;Канада;50,01;246,36;1012;Claresholm Automatic Weather Reporting System
CWDL;Диз-Лейк;Канада;58,42;229,96;792;Dease Lake
CWDM;Чивери;Канада;50,46;300,36;6;Chevery, Que.
CWDO;Твиллингейт;Канада;49,68;305,20;92;Twillingate Meteorological Aeronautical Presentati
CWDP;Мануане-Эст;Канада;50,66;289,46;496;Manouane-Est Automated Reporting Station
CWDQ;Ла-Туке;Канада;47,41;287,20;169;La Tuque
CWDS;Ст. Лоуренс;Канада;46,91;304,61;49;St. Lawrence, Nfld.
CWDT;Чутез-дез-Пассез;Канада;49,90;288,75;399;Chute Des Passes
CWDU;Коп-Аппер;Канада;51,08;245,78;1235;Cop Upper
CWDV;Упсала;Канада;49,03;269,53;489;Upsala
CWEA;Пинава;Канада;50,18;263,93;268;Pinawa Automatic Weather Reporting System
CWEB;Истэван-Пойнт;Канада;49,38;233,45;7;Estevan Point, B. C.
CWEC;о. Уэлком;Канада;48,36;270,88;209;Welcome Island
CWEE;Чамочуани;Канада;49,28;286,64;305;Chamouchouane Automatic Weather Reporting System
CWEF;о. Сент-Паул;Канада;47,23;299,86;26;Saint Paul Island Meteorological Aeronautical Pres
CWEH;Истэнд-Кипрес;Канада;49,43;251,01;1078;Eastend Cypress, Sask
CWEI;Мелита;Канада;49,28;259,01;446;Melita, Man
CWEK;о. Грей;Канада;54,58;229,30;8;Grey Islet Meteorological Aeronautical Presentatio
CWEL;Энтранс-Айленд;Канада;49,21;236,20;5;Entrance Island Automatic Weather Reporting System
CWEO;Лак-Эон;Канада;51,86;296,71;561;Lac Eon, Que
CWEP;Ист-Пойнт;Канада;46,45;298,03;13;East Point, P. E. I
CWEQ;Свон-Ривер;Канада;52,11;258,76;335;Swan River, Man.
CWER;о. д'Орлеанс;Канада;47,00;289,18;5;Ile D'Orleans Automated Reporting Station
CWEU;Эурека;Канада;79,99;274,18;78;Eureka
CWEV;Элис-Ривер;Канада;67,70;255,53;42;Ellice River Automated Reporting Station
CWEW;Ласссомптьон;Канада;45,81;286,56;21;L'assomption
CWEZ;о. Сатурна;Канада;48,78;236,95;24;Saturna Island Meteorological Aeronautical Present
CWFD;Кейп-Дайер;Канада;66,58;298,38;393;Cape Dyer, N. W. T.
CWFE;Эльк-Айленд;Канада;53,68;247,13;716;Elk Island National Park
CWFF;Мелфорт;Канада;52,81;255,39;490;Melfort Automatic Weather Reporting System
CWFG;о. Сартин;Канада;50,81;231,10;112;Sartine Island Meteorological Aeronautical Present
CWFJ;Кардстон;Канада;49,20;246,71;1136;Cardston Automated Reporting Station
CWFL;Форт-Релианс;Канада;62,71;250,83;164;Fort Reliance
CWFN;Кри-Лейк;Канада;57,35;252,86;497;Cree Lake Meteorological Aeronautical Presentation
CWFQ;Фрелихсбург;Канада;45,05;287,16;152;Frelighsburg
CWFW;Байе-Комеу;Канада;49,26;291,85;129;Baie Comeau
CWFX;Колвилл-Лейк;Канада;67,03;233,91;259;Colville Lake
CWFZ;Форт-Релианс;Канада;62,71;250,81;168;Fort Reliance, Nwt
CWGB;о. Балленас;Канада;49,35;235,83;5;Ballenas Island Automatic Weather Reporting System
CWGD;Годерич;Канада;43,76;278,28;214;Goderich Automatic Weather Reporting System
CWGF;Гарден-Ривер;Канада;58,68;246,11;241;Garden River Automatic Weather Reporting System
CWGH;о. Гренадиер;Канада;44,41;284,14;82;Grenadier Island
CWGL;Лагун-Сити;Канада;44,53;280,78;221;Lagoon City
CWGM;Уотертон-Парк-Гейт;Канада;59,13;246,20;1296;Waterton Park Gate
CWGN;Гретна;Канада;49,03;262,43;253;Gretna, Man.
CWGP;Пембертон;Канада;50,30;237,26;204;Pemberton Automatic Weather Reporting System
CWGQ;Рокемаури;Канада;48,63;280,54;269;Roquemaure
CWGT;Систерз-Айленд;Канада;49,48;235,56;5;Sisters Island Automatic Weather Reporting System
CWGW;Спарвуд;Канада;49,75;245,10;1137;Sparwood Automatic Weather Reporting System
CWGY;Эстер 1;Канада;51,66;249,80;707;Esther 1
CWHA;Хайвэйл;Канада;53,45;245,53;747;Highvale
CWHC;Ванкувер;Канада;49,30;236,88;2;Vancouver
CWHE;Эллерслай;Канада;53,41;246,80;694;Ellerslie
CWHH;Хантерс-Пойнт;Канада;53,03;259,06;256;Hunters Point Mar
CWHI;Три-Хиллз;Канада;51,70;246,78;907;Three Hills
CWHL;Холланд-Рок;Канада;54,16;229,63;5;Holland Rock Automatic Weather Reporting System
CWHM;Вареннес;Канада;45,71;286,61;19;Varennes
CWHO;Хоупдейл;Канада;55,45;299,76;8;Hopedale Meteorological Aeronautical Presentation
CWHP;Хёт-Пойнт;Канада;49,08;298,29;4;Heath Point Meteorological Aeronautical Presentati
CWHS;Бернард-Харбор;Канада;68,78;245,16;65;Bernard Harbour
CWHT;Хейнес-Джанкшн;Канада;60,76;222,41;599;Haines Junction
CWHV;Бьюсвилле;Канада;46,20;289,21;229;Beauceville
CWHW;Комфорт-Кав;Канада;49,26;305,11;99;Comfort Cove, Nfld.
CWHY;Монт-Орфорд;Канада;45,31;287,75;851;Mont-Orford
CWIC;Исачсен;Канада;79,78;256,45;58;Isachsen Meteorological Aeronautical Presentation
CWID;Форт-Провиденс;Канада;61,31;242,39;161;Fort Providence
CWIE;Индин-Ривер;Канада;64,38;244,98;478;Indin River
CWII;Виктория-Бич;Канада;50,70;263,43;220;Victoria Beach
CWIJ;Лупин;Канада;65,76;248,76;500;Lupin, N. W. T.
CWIK;Бродвью;Канада;50,38;257,31;602;Broadview, Sask.
CWIO;Искут-Ривер;Канада;56,73;228,33;15;Iskut River
CWIQ;Примрозе-Лейк;Канада;54,75;249,95;700;Primrose Lake
CWIT;Ст.-Клотильде;Канада;45,16;286,31;52;Saint Clothilde Automated Reporting Station
CWIW;Уатрус-Ист;Канада;51,66;254,60;526;Watrous East Automated Reporting Station
CWIX;Мистук;Канада;48,76;288,28;113;Mistook Automated Reporting Station
CWIZ;Лакади;Канада;45,30;286,64;45;L'Acadie
CWJA;Джаспер;Канада;52,88;241,93;1061;Jasper, Alta.
CWJC;Эннадаи-Лейк;Канада;61,13;259,10;357;Ennadai Lake Meteorological Aeronautical Presentat
CWJD;Гранд-Рапидс;Канада;53,18;260,73;223;Grand Rapids, Man.
CWJH;Саутэнд;Канада;56,33;256,71;344;Southend Automatic Weather Reporting System
CWJI;Ассинибоиа;Канада;49,73;254,06;724;Assiniboia Airport Automated Reporting Station
CWJM;Аппер-Ридьо-Лейк;Канада;44,70;283,70;125;Upper Rideau Lake
CWJN;о. Хершель;Канада;69,56;221,08;1;Herschel Island Automatic Weather Reporting System
CWJO;Джонквери;Канада;48,41;288,78;133;Jonquiere Automated Reporting Station
CWJP;Портер-Лейк;Канада;61,66;251,58;396;Porter Lake
CWJR;Крестон;Канада;49,08;243,50;646;Creston Automatic Weather Reporting System
CWJT;Ст. Джовите;Канада;46,06;285,46;239;St Jovite Automatic Weather Reporting System
CWJU;о. Лангара;Канада;54,25;226,95;41;Langara, B. C.
CWJW;Джаспер-Уарден;Канада;52,93;241,68;1020;Jasper Warden Automated Reporting Station
CWJX;Лидер;Канада;50,90;250,50;672;Leader Airport Automatic Weather Reporting System
CWJY;Яткайд-Лейк;Канада;62,70;261,70;148;Yathkyed Lake Meteorological Aeronautical Presenta
CWJZ;Дубаунт-Лейк;Канада;63,23;258,23;237;Dubawnt Lake Meteorological Aeronautical Presentat
CWKD;Боннард;Канада;50,73;288,98;497;Bonnard Automated Reporting Station
CWKE;Пелли-Бей;Канада;68,43;270,28;326;Pelly Bay
CWKH;Малахат;Канада;48,58;236,41;366;Malahat Automatic Weather Reporting System
CWKK;о. Кататота;Канада;49,71;271,66;260;Katatota Island
CWKO;Рокглен;Канада;49,16;254,01;917;Rockglen, Sask.
CWKW;Кейп-Каккивиак;Канада;59,98;295,83;551;Cape Kakkiviak
CWLB;Лак-ла-Биче;Канада;54,76;247,98;567;Lac La Biche, Alta.
CWLE;Лакки-Лейк;Канада;50,95;252,85;665;Lucky Lake Automatic Weather Reporting System
CWLF;Лансдаун-Хаус;Канада;52,23;272,11;242;Lansdowne House
CWLG;Литтл-Чикаго;Канада;67,20;229,78;63;Little Chicago
CWLI;Ливерпуль-Бей;Канада;69,60;229,10;102;Liverpool Bay
CWLM;Виктория;Канада;48,41;236,68;70;Victoria Automatic Weather Reporting System
CWLO;Шило;Канада;49,78;260,36;373;Shilo
CWLP;о. Герберт;Канада;50,93;232,36;17;Herbert Island Meteorological Aeronautical Present
CWLQ;Ниписсинг;Канада;46,31;280,53;204;Nipissing
CWLS;Маунт-Форест;Канада;43,98;279,25;415;Mount Forest, Ont.
CWLV;Уаскесю-Лейк;Канада;53,91;253,93;569;Waskesiu Lake Automated Reporting Station
CWLX;Лонгстафф-Блуфф;Канада;68,88;284,86;161;Longstaff Bluff, N. W. T.
CWLY;Лайтон;Канада;50,23;238,41;229;Lytton, B. C.
CWLZ;Кэндл-Лейк;Канада;53,73;254,73;503;Candle Lake
CWME;Кафедрал-Пойнт;Канада;52,18;232,53;32;Cathedral Point Meteorological Aeronautical Presen
CWMI;о. Мискоу;Канада;48,01;295,50;4;Miscou Island, N. B.
CWMJ;Маниуаки;Канада;46,28;284,00;200;Maniwaki
CWMM;П. Медоуз;Канада;49,20;237,31;5;P. Meadows Coastal Station Automatic Weather Repor
CWMN;Макгилл;Канада;45,41;286,06;63;Mcgill Radar Site
CWMP;Паудер-Лейк;Канада;61,05;250,66;396;Powder Lake
CWMQ;Мэпл-Крик;Канада;49,90;250,53;767;Maplecreek Automatic Weather Reporting System
CWMS;о. Макиннес;Канада;52,26;231,28;26;Mcinnes Island, B. C.
CWMT;Лак-ла-Мартре;Канада;63,15;242,73;271;Lac La Martre
CWMU;Рампарт-Ривер;Канада;65,95;229,53;155;Rampart River Automatic Weather Reporting System
CWMV;Ст.-Чарльз-Крик;Канада;64,75;235,78;341;St Charles Creek
CWMW;Маниуаки;Канада;46,38;284,03;173;Maniwaki, Que.
CWMX;Милдред-Лейк;Канада;57,53;248,43;310;Mildred Lake
CWMZ;Вестерн-Айленд;Канада;45,03;279,63;191;Western Island Meteorological Aeronautical Present
CWNB;С.Е.Шоал;Канада;41,83;277,53;195;S. E. Shoal Meteorological Aeronautical Presentati
CWNC;Кобург;Канада;43,95;281,83;78;Cobourg, Ont.
CWND;о. Пелли;Канада;69,63;224,56;12;Pelly Island Automatic Weather Reporting System
CWNH;Ривьере-ду-Луп;Канада;47,80;290,45;148;Riviere Du Loup, Que.
CWNK;Карман;Канада;49,50;261,96;268;Carman U Of M
CWNL;о. Грейт-Дак;Канада;45,63;277,03;183;Great Duck Island
CWNM;Нэльсон;Канада;49,50;242,70;535;Nelson Automatic Weather Reporting System
CWNO;Сатах-Ривер;Канада;66,86;225,80;86;Satah River Automatic Weather Reporting System
CWNP;Накусп;Канада;50,26;242,18;524;Nakusp Automatic Weather Reporting System
CWNQ;Николет;Канада;46,21;287,35;10;Nicolet Automatic Weather Reporting System
CWNR;Накиска-Риджтоп;Канада;50,95;244,81;2543;Nakiska Ridgetop
CWNT;Тортл-Маунтин;Канада;49,58;245,58;2164;Turtle Mountain
CWNW;Хэлдан-Ривер;Канада;67,06;238,89;186;Haldane River Automatic Weather Reporting System
CWNX;Нечако-Ривер;Канада;53,68;235,16;715;Nechako River
CWNZ;Нагагами;Канада;49,75;275,83;263;Nagagami, Ont.
CWOA;Камселл-Ривер;Канада;65,61;241,88;230;Camsell River, N. W. T.
CWOB;о. Бривурт;Канада;63,33;295,85;367;Brevoort Island
CWOC;Нью-Карлисле;Канада;48,01;294,66;47;New Carlisle 1
CWOD;Нормандин;Канада;48,83;287,45;137;Normandin
CWOE;Онефор;Канада;49,11;249,53;935;Onefour Automatic Weather Reporting System
CWOH;Ст. Агате-дес-Монт;Канада;46,05;285,71;395;Ste Agathe Des Mont
CWOI;Ивавик-Парк;Канада;69,15;219,85;244;Ivvavik Park Automatic Weather Reporting System
CWOK;Элбоу;Канада;51,13;253,41;595;Elbow Marine Aviation Reporting Station
CWOU;Примрозе-Лейк 2;Канада;54,78;249,93;606;Primrose Lake 2
CWPA;Хендериксон;Канада;53,78;241,56;1542;Henderickson Automatic Weather Reporting System
CWPB;Бьюсолеил;Канада;44,85;280,13;183;Beausoleil Island Automated Reporting Station
CWPC;Порт-Колборн;Канада;42,86;280,75;184;Port Colborne Automated Reporting Station
CWPD;Парк-дес-Лоурентайдес;Канада;47,56;288,76;803;Parc des Laurentides
CWPH;Инукджуак;Канада;58,45;281,88;6;Inukjuak, Que
CWPI;Пайн-Айленд;Канада;50,98;232,26;9;Pine Island Meteorological Aeronautical Presentati
CWPJ;Пойнт-Эскуминак;Канада;47,06;295,20;5;Point Escuminac Meteorological Aeronautical Presen
CWPK;Парент;Канада;47,91;285,38;441;Parent, Que.
CWPO;Пилот-Маунд;Канада;49,20;261,10;470;Pilot Mound, Man.
CWPQ;Монреаль-Ист;Канада;45,63;289,45;51;Montreal-Est
CWPR;Принстон;Канада;50,60;239,48;700;Princeton Automatic Weather Reporting System
CWPS;Лонг-Пойнт;Канада;42,56;279,95;175;Long Point Meteorological Aeronautical Presentatio
CWPU;Пунтзи-Маунтин;Канада;52,11;235,86;910;Puntzi Mountain, B. C.
CWQC;Порт-Альберни;Канада;49,25;235,16;2;Port Alberni, B. C.
CWQE;Торонто-Хедлэнд;Канада;43,61;280,65;87;Toronto Headland
CWQF;Рэббит-Кеттл;Канада;61,96;232,78;634;Rabbit Kettle Automated Reporting Station
CWQG;Валкартье;Канада;46,90;288,50;167;Valcartier
CWQH;Леноксвилле;Канада;45,36;288,18;181;Lennoxville
CWQK;Рэйс-Рокс;Канада;48,30;236,46;5;Race Rocks Automatic Weather Reporting System
CWQM;Кап-Руг;Канада;48,38;289,46;7;Cap Rouge
CWQO;о. Бикет;Канада;48,41;291,10;0;Ile Bicquette
CWQP;Пойнт-Петре;Канада;43,83;282,85;79;Point Petre, Ont.
CWQQ;Лакомбе;Канада;52,45;246,25;874;Lacombe Cda
CWQR;о. Аукс-Перрокветс;Канада;50,21;295,78;9;Ile  Auxiliary Perroquets
CWQS;Киндакун-Рокс;Канада;53,31;227,25;14;Kindakun Rocks, B. C.
CWQV;Пуинте-Клавю;Канада;48,26;289,88;0;Puinte Claveau
CWQW;Кейп-Уиттл;Канада;50,16;299,93;7;Cape Whittle
CWQY;Ханбари-Ривер;Канада;63,58;254,85;317;Hanbury River Automated Reporting Station
CWRA;Кейп-Рейс;Канада;46,65;306,93;28;Cape Race, Nfld
CWRD;Ред-Эёрф;Канада;56,53;244,73;546;Red Earth
CWRF;Пелли-Бей-1;Канада;69,43;270,26;325;Pelly Bay 1
CWRJ;Розетаун-Ист;Канада;51,56;252,08;586;Rosetown East, Sask
CWRN;о. Харт;Канада;45,35;299,01;4;Hart Island Meteorological Aeronautical Presentati
CWRO;Роуз-Спит;Канада;54,16;228,33;7;Rose Spit Meteorological Aeronautical Presentation
CWRP;Николсон-Пенинсьюл;Канада;69,93;231,03;89;Nicholson Peninsul
CWRT;Кроузнест;Канада;49,63;245,51;1303;Crowsnest
CWRU;о. Соландер;Канада;50,11;232,06;99;Solander Island Meteorological Aeronautical Presen
CWRV;Камрозе;Канада;53,03;247,18;739;Camrose
CWRW;Форчу-Хед;Канада;45,71;299,76;10;Fourchu Head Meteorological Aeronautical Presentat
CWRY;Милк-Ривер;Канада;49,13;247,95;1050;Milk River
CWRZ;Кап-д'Эспюр;Канада;48,41;295,68;16;Cap D'Espoir Meteorological Aeronautical Presentat
CWSA;о. Сейбл;Канада;43,93;299,98;4;Sable Island, N. S.
CWSE;Эдмонтон-Стоуни-Плэйн;Канада;53,53;245,89;766;Edmonton Stony Plain Alta.
CWSF;Кап-Маделайн;Канада;49,25;294,66;29;Cap Madeleine Meteorological Aeronautical Presenta
CWSG;Кап-Чат;Канада;49,11;293,35;5;Cap Chat Meteorological Aeronautical Presentation
CWSH;Соуса;Канада;58,58;241,50;373;Sousa Crk Avt
CWSI;Симкое;Канада;42,85;279,73;241;Simcoe, Ont.
CWSK;Скуамиш;Канада;49,78;236,83;52;Squamish Airport, B. C
CWSL;Салмон;Канада;50,70;240,71;351;Salmon Arm Automatic Weather Reporting System
CWSP;Шерингхам;Канада;48,38;236,08;21;Sheringham Automatic Weather Reporting System
CWSQ;Аулвик;Канада;74,13;240,01;32;Aulvik National Park
CWSR;Спиритвуд-Уэст;Канада;53,36;252,45;590;Spiritwood West, Sask
CWSS;Ст. Стефен;Канада;45,21;292,75;26;St. Stephen, N. B.
CWST;Ла-Покатиере;Канада;47,35;289,96;31;La Pocatiere
CWSW;Спарвуд (Элк-Велли);Канада;49,75;245,11;;Sparwood (Elk Valley)
CWSZ;Фишер-Бранч;Канада;51,08;262,45;253;Fisher Branch Marine Aviation Reporting Station
CWTA;Мактавиш;Канада;45,50;286,41;63;Mc Tavish Automated Reporting Station
CWTB;Бордер;Канада;55,33;296,78;479;Border, Que.
CWTC;Этельда-Бей;Канада;53,05;230,31;10;Ethelda Bay
CWTD;Робертсон-Лейк;Канада;65,10;257,56;244;Robertson Lake Automated Reporting Station
CWTE;Трут-Лейк;Канада;60,43;238,76;498;Trout Lake
CWTF;о. Беартуф;Канада;59,21;250,30;238;Beartooth Island
CWTG;Пойнте-дес-Монтс;Канада;49,31;292,61;5;Pointe Des Monts
CWTN;Кап-Тоурменте;Канада;47,06;289,20;6;Cap Tourmente
CWTO;Торонто;Канада;43,78;280,53;187;Toronto Aes Hq
CWTY;Тройс-Ривьерес;Канада;46,35;287,48;6;Trois Rivieres
CWUP;Кейп-Хупер;Канада;68,46;293,20;390;Cape Hooper, N. W. T.
CWUR;Труро;Канада;45,36;296,73;40;Truro, N. S.
CWUS;Саммерлэнд;Канада;49,56;240,35;454;Summerland Automatic Weather Reporting System
CWUT;Шоул-Лейк;Канада;50,45;259,39;561;Shoal Lake Airport Automated Reporting Station
CWUU;Макар-Инлет;Канада;68,30;274,33;395;Mackar Inlet
CWUW;Девар-Лейкс;Канада;68,65;288,83;527;Dewar Lakes, N. W. T.
CWUY;Руэн;Канада;48,25;280,96;318;Rouyn
CWVA;Бонависта;Канада;48,66;306,88;27;Bonavista, Nfld.
CWVC;Свифт-Каррент;Канада;50,26;252,26;825;Swift Current Automatic Weather Reporting System
CWVD;о. Бругтон;Канада;67,53;296,21;584;Broughton Island
CWVI;Вегревилле;Канада;53,61;247,96;639;Vegreville Automatic Weather Reporting System
CWVK;Вернон;Канада;50,23;240,71;556;Vernon, B. C.
CWVN;Вал-Мари-Саутист;Канада;49,06;252,41;785;Val Marie Southeast, Sask
CWVO;Вауксхолл;Канада;50,05;247,86;779;Vauxhall Cda
CWVP;Киприс-Хиллз-Парк;Канада;49,65;250,48;1271;Cypress Hills Park
CWVQ;Ст. Анна-де-Белл-1;Канада;45,43;286,06;39;Ste Anne De Bell 1
CWVY;Виллерой;Канада;46,43;288,06;108;Villeroy Radar Site
CWWA;Ванкувер;Канада;49,35;236,81;178;Vancouver Automatic Weather Reporting System
CWWB;Бурлингтон-Пьерз;Канада;43,30;280,20;77;Burlington Piers
CWWC;Коллинз-Бей;Канада;58,18;256,29;492;Collins Bay Automatic Weather Reporting System
CWWE;Уэстерн-Хед;Канада;43,98;295,33;9;Western Head, N. S.
