Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Часовой пояс;Станция (EN)
01001;Ян-Майен;Норвегия;70,93;351,33;10;-1;Jan Mayen
01002;Ферлегенхукен;Норвегия;80,05;16,25;8;0;Verlegenhuken
01003;Хорнсунд;Норвегия;77,00;15,50;10;0;Hornsund
01004;Ню-Алесунд II;Норвегия;78,92;11,92;15;0;Ny-Alesund II
01006;Эдгойа;Норвегия;78,25;22,82;14;0;Edgeoya
01007;Ню-Алесунд;Норвегия;78,92;11,93;8;0;Ny-Alesund
01008;Свалбард-Луфтхафен;Норвегия;78,25;15,46;28;0;Svalbard Lufthavn
01009;Фиппсоя;Норвегия;80,65;25,00;5;0;Phippsoya
01010;Андойа;Норвегия;69,30;16,13;10;0;Andoya
01011;Квитоя;Норвегия;80,07;31,50;10;0;Kvitoya
01014;Сенья-Лаухелла;Норвегия;69,23;17,90;9;0;Senja-Laukhella
01015;Хеккинген;Норвегия;69,60;17,83;14;0;Hekkingen Fyr
01016;Конгсоя;Норвегия;78,92;28,89;20;0;Kongsoya
01017;Акселоя;Норвегия;77,68;14,78;6;0;Akseloya
01018;Андоя-Троллтинден;Норвегия;69,24;16,00;436;0;Andoya-Trolltinden
01019;Сварттанген;Норвегия;77,51;20,81;20;0;Svarttangen
01020;Соркаппоя;Норвегия;76,47;16,54;10;0;Sorkappoya
01023;Бардуфос;Норвегия;69,05;18,54;76;0;Bardufoss
01024;Пирамиден;Норвегия;78,65;16,36;20;0;Pyramiden
01025;Тромсо / Лангнес;Норвегия;69,67;18,91;8;0;Tromso/Langnes
01026;Тромсо;Норвегия;69,65;18,93;100;0;Tromso
01027;Тромсе;Норвегия;69,65;18,90;10;0;Tromso
01028;Бьёрноя;Норвегия;74,51;19,00;18;0;Bjornoya
01030;Кистефйелл;Норвегия;69,28;18,12;982;0;Kistefjell
01033;Торсваг;Норвегия;70,24;19,50;21;0;Torsvag Fyr
01034;Фуглойкалвен;Норвегия;70,31;20,15;38;0;Fugloykalven Fyr
01035;Линген;Норвегия;69,55;20,09;710;0;Lyngen Gjerdvassbu
01036;Норднесфьеллет;Норвегия;69,57;20,42;700;0;Nordnesfjellet
01037;Шиботн-2;Норвегия;69,38;20,28;20;0;Skibotn-2
01041;Нордрайза-Ойенг;Норвегия;69,73;21,01;;0;Nordreisa-Oyeng
01042;Хасвик-Слускфьеллет;Норвегия;70,60;22,44;438;0;Hasvik-Sluskfjellet
01043;Рогнсундет;Норвегия;70,41;22,81;10;0;Rognsundet
01044;Хасвик;Норвегия;70,48;22,14;6;0;Hasvik
01045;Нордстраум;Норвегия;69,83;21,88;6;0;Nordstraum | Kvaenangen
01046;Соркйозен;Норвегия;69,78;20,95;6;0;Sorkjosen
01047;Каутокейно;Норвегия;68,99;23,03;307;0;Kautokeino
01049;Альта-Луфтхафен;Норвегия;69,97;23,35;3;0;Alta Lufthavn
01051;Суоловуопми;Норвегия;69,58;23,53;;0;Suolovuopmi
01052;Хаммерфест;Норвегия;70,68;23,67;81;0;Hammerfest AP
01055;Фрухольмен;Норвегия;71,09;23,98;13;0;Fruholmen Fyr
01057;Куовддатмокки;Норвегия;69,36;24,43;286;0;Cuovddatmohkki
01058;Суоловуопми Лулит;Норвегия;69,57;23,53;381;0;Suolovuopmi Lulit
01059;Банак;Норвегия;70,06;24,98;5;0;Banak
01062;Хопен;Норвегия;76,50;25,01;6;0;Hopen
01064;Искорас II;Норвегия;69,30;25,34;591;0;Iskoras II
01065;Карасйок;Норвегия;69,46;25,50;131;0;Karasjok
01066;Хельнес;Норвегия;71,06;26,23;;0;Helnes Fyr
01068;Хонигсфаг / Валан;Норвегия;71,01;25,97;14;0;Honningsvag/Valan
01074;Меамн;Норвегия;71,03;27,82;11;0;Mehamn
01075;Рустефьелбма;Норвегия;70,39;28,19;10;0;Rustefjelbma
01076;Танабру;Норвегия;70,21;28,15;32;0;Tanabru
01078;Слетнес;Норвегия;71,08;28,21;8;0;Sletnes Fyr
01082;Нюруд;Норвегия;69,14;29,24;56;0;Nyrud
01083;Берлевог;Норвегия;70,87;29,03;12;0;Berlevag
01084;Пасвик;Норвегия;69,45;30,04;27;0;Pasvik
01086;Ботсфьорд;Норвегия;70,60;29,70;149;0;Batsfjord
01088;Вадсё;Норвегия;70,06;29,83;38;0;Vadso
01089;Киркенес;Норвегия;69,72;29,89;89;0;Kirkenes
01091;Лосистуа;Норвегия;68,19;17,78;740;0;Losistua
01092;Маккаур;Норвегия;70,70;30,06;9;0;Makkaur Fyr
01098;Вардё;Норвегия;70,37;31,09;14;0;Vardo
01099;Вардё;Норвегия;70,35;31,04;12;0;Vardo
01102;Шлинна;Норвегия;65,20;10,99;23;0;Sklinna Fyr
01103;Лека;Норвегия;65,10;11,70;;0;Leka
01105;Ротваер;Норвегия;68,36;15,94;8;0;Rotvaer
01106;Роест III;Норвегия;67,51;12,10;2;0;Roest III
01107;Рост а/п;Норвегия;67,52;12,10;4;0;Rost Flyplass
01108;Вега-Валлсьё;Норвегия;65,70;11,85;4;0;Vega-Vallsjo
01110;Уттерхольмен;Норвегия;66,00;11,68;33;0;Ytterholmen Fyr
01112;Брённёйсунн / Брённёй;Норвегия;65,45;12,21;7;0;Bronnoysund/Bronnoy
01113;Гломфьёрд;Норвегия;66,80;13,98;39;0;Glomfjord
01114;Рейпа;Норвегия;66,90;13,64;9;0;Reipa
01115;Мюкен;Норвегия;66,76;12,48;17;0;Myken
01116;Санднессйёен / Стокка;Норвегия;65,96;12,47;17;0;Sandnessjoen/Stokka
01117;Тьётта;Норвегия;65,82;12,43;21;0;Tjotta
01121;Сольвер III;Норвегия;66,37;12,61;10;0;Solvaer III
01122;Мушёэн;Норвегия;65,78;13,21;72;0;Mosjoen AP
01124;Снаса;Норвегия;64,15;12,46;195;0;Snasa
01132;Маяватн;Норвегия;65,16;13,36;319;0;Majavatn V
01133;Лаксфорс;Норвегия;65,62;13,28;50;0;Laksfors
01135;Сельелиа;Норвегия;66,13;13,58;126;0;Seljelia
01138;Тенхольмен;Норвегия;67,30;13,50;;0;Tennholmen Fyr
01139;Ваерой Хелипорт;Норвегия;67,65;12,72;3;0;Vaeroy Heliport
01141;Лекнес;Норвегия;68,15;13,61;26;0;Leknes
01143;Драг-Айлуокта;Норвегия;68,04;16,08;19;0;Drag-Ajluokta
01144;Хеллигваер II;Норвегия;67,40;13,89;24;0;Helligvaer II
01146;Скамдал;Норвегия;66,23;13,89;5;0;Skamdal
01147;Варнтреск;Норвегия;65,82;14,18;406;0;Varntresk
01148;Сторфорсхей;Норвегия;66,39;14,53;110;0;Storforshei
01149;Рана-Басмоен;Норвегия;66,33;14,10;42;0;Rana-Basmoen
01150;Хьяртасен;Норвегия;66,49;14,95;251;0;Hjartasen
01151;Му-и-Рана / Россволь;Норвегия;66,36;14,30;69;0;Mo I Rana/Rossvoll
01152;Будё VI;Норвегия;67,26;14,35;11;0;Bodo VI
01153;Буде;Норвегия;67,28;14,45;33;0;Bodo
01154;Литлой;Норвегия;68,58;14,30;;0;Litloy Fyr
01155;Бу-и-Вестерален II;Норвегия;68,63;14,46;13;0;Bo I Vesteralen II
01156;Бу-и-Вестерален;Норвегия;68,60;14,43;7;0;Bo I Vesteralen
01158;Сетса;Норвегия;67,16;15,48;7;0;Setsa
01160;Шрова;Норвегия;68,15;14,65;11;0;Skrova Fyr
01161;Сволваер / Хелле;Норвегия;68,24;14,66;8;0;Svolvaer/Helle
01162;Сторкмаркнес / Скаген;Норвегия;68,58;15,02;3;0;Storkmarknes/Skagen
01167;Сортланд;Норвегия;68,70;15,41;3;0;Sortland
01169;Сальтдаль;Норвегия;66,93;15,31;37;0;Saltdal
01172;Финной-и-Хамарой;Норвегия;68,00;15,61;;0;Finnoy I Hamaroy
01180;Харстад;Норвегия;68,80;16,53;45;0;Harstad
01183;Эвенес;Норвегия;68,49;16,68;25;0;Evenes
01192;Страумснес;Норвегия;68,43;17,66;200;0;Straumsnes
01193;Нарвик/Фрамнес;Норвегия;68,43;17,38;28;0;Narvik/Framnes
01194;Нарвик III;Норвегия;68,46;17,50;23;0;Narvik III
01196;Тенефоль;Норвегия;68,75;17,81;;0;Tennevoll
01198;Дивидален II;Норвегия;68,78;19,70;204;0;Dividalen II
01199;Сихкайаври;Норвегия;68,75;23,53;382;0;Sihcajavri
01203;Кракенес;Норвегия;62,03;4,98;75;0;Krakenes
01205;Свиной;Норвегия;62,32;5,26;38;0;Svinoy Fyr
01207;Фискабайд;Норвегия;62,10;5,58;41;0;Fiskabygd
01209;Орста-Волда / Ховден;Норвегия;62,18;6,08;74;0;Orsta-Volda/Hovden
01210;Алесунд / Вигра;Норвегия;62,56;6,11;22;0;Alesund/Vigra
01212;Она III;Норвегия;62,85;6,53;13;0;Ona III
01214;Рекдал;Норвегия;62,65;6,75;43;0;Rekdal
01217;Молде;Норвегия;62,74;7,26;3;0;Molde/Aro
01218;Тафьорд;Норвегия;62,23;7,42;11;0;Tafjord
01220;Маннен;Норвегия;62,45;7,77;1294;0;Mannen
01221;Тагдален;Норвегия;63,05;9,07;450;0;Tagdalen
01223;Кинстиансунд / Квернбергет;Норвегия;63,10;7,81;62;0;Kristiansund/Kvernberget
01224;Шальмен;Норвегия;62,47;6,21;15;0;Skalmen Fyr
01225;Вайхольмен;Норвегия;63,52;7,94;5;0;Veiholmen
01227;Иннердален;Норвегия;62,72;8,77;405;0;Innerdalen
01228;Сула;Норвегия;63,84;8,46;5;0;Sula
01229;Лебергсфьеллет;Норвегия;62,51;6,87;625;0;Lebergsfjellet
01230;Бьорли;Норвегия;62,25;8,19;579;0;Bjorli
01231;Лесьяског;Норвегия;62,23;8,36;621;0;Lesjaskog
01232;Марстейн;Норвегия;62,44;7,84;67;0;Marstein
01233;Домбаас;Норвегия;62,07;9,11;638;0;Dombaas
01234;Оркдал;Норвегия;63,31;9,84;4;0;Orkdal
01236;Кёремсгренде;Норвегия;62,10;9,05;626;0;Kjoremsgrende
01237;Хитра;Норвегия;63,51;9,11;13;0;Hitra
01238;Фокстуа II;Норвегия;62,11;9,28;973;0;Fokstua II
01239;Хъеркинн II;Норвегия;62,22;9,54;1012;0;Hjerkinn II
01240;Хальтен;Норвегия;64,17;9,40;16;0;Halten Fyr
01241;Орланд III;Норвегия;63,70;9,60;10;0;Orland III
01242;Афьорд;Норвегия;63,96;10,21;20;0;Afjord
01245;Оппдаль-Сетер;Норвегия;62,60;9,66;604;0;Oppdal-Seter
01250;Фоллдал;Норвегия;62,12;9,99;694;0;Folldal
01252;Беркак-Люнгхольт;Норвегия;62,81;10,01;475;0;Berkak-Lyngholt
01253;Сокнедал;Норвегия;62,95;10,17;299;0;Soknedal
01254;Котсой;Норвегия;62,97;10,56;127;0;Kotsoy
01257;Тронхейм / Фоль;Норвегия;63,41;10,45;127;0;Trondheim/Voll
01259;Бухольмраса;Норвегия;64,40;10,45;18;0;Buholmrasa Fyr
01262;Нордойан;Норвегия;64,79;10,54;33;0;Nordoyan Fyr
01265;Тюнсет-Хансмоен;Норвегия;62,26;10,73;482;0;Tynset-Hansmoen
01270;Квитхамар;Норвегия;63,48;10,87;40;0;Kvithamar
01271;Тронхейм / Вернс;Норвегия;63,45;10,93;12;0;Trondheim/Vernes
01272;Фроста;Норвегия;63,56;10,69;70;0;Frosta
01273;Селбу;Норвегия;63,22;11,00;160;0;Selbu
01274;Селбу-Штуббе;Норвегия;63,20;11,11;;0;Selbu-Stubbe
01277;Стейнкьер;Норвегия;64,02;11,45;6;0;Steinkjer
01278;Вердал-Реппе;Норвегия;63,78;11,67;81;0;Verdal-Reppe
01280;Намдальсайд;Норвегия;64,25;11,20;87;0;Namdalseid
01281;Намсскуган;Норвегия;64,74;12,84;140;0;Namsskogan
01282;Рёрвик;Норвегия;64,83;11,14;4;0;Rorvik/Ryum
01287;Солендет;Норвегия;62,67;11,81;760;0;Solendet
01288;Рёрус;Норвегия;62,57;11,35;625;0;Roros
01289;Рёрус-Луфтхафен;Норвегия;62,58;11,35;626;0;Roros Lufthavn
01290;Намсус-Люфтхафен;Норвегия;64,47;11,57;2;0;Namsos Lufthavn
01291;Гартланд;Норвегия;64,53;12,38;95;0;Gartland
01292;Меракер;Норвегия;63,41;11,75;240;0;Meraker-Utsyn
01293;Меракер-Эдж;Норвегия;63,41;11,72;169;0;Meraker-Egge
01295;Хойландет;Норвегия;64,55;12,15;27;0;Hoylandet-Drag.
01298;Нордли-Холанд;Норвегия;64,44;13,71;433;0;Nordli-Holand
01300;Гульфакс;Норвегия;61,20;2,26;80;0;Gullfaks C
01304;Юттеройане;Норвегия;61,57;4,68;26;0;Ytteroyane Fyr
01306;Хелисой;Норвегия;60,75;4,71;23;0;Hellisoy Fyr
01307;Федже;Норвегия;60,78;4,71;19;0;Fedje
01308;Фурунесет;Норвегия;61,29;5,04;7;0;Furuneset
01310;Флоро;Норвегия;61,58;5,02;11;0;Floro
01311;Берген / Флесланд;Норвегия;60,28;5,22;48;0;Bergen/Flesland
01314;Фосмарк;Норвегия;60,52;5,72;10;0;Fossmark
01315;Евангер;Норвегия;60,64;6,11;17;0;Evanger
01317;Берген / Флорида;Норвегия;60,38;5,33;12;0;Bergen/Florida
01318;Сандане;Норвегия;61,78;6,18;51;0;Sandane
01319;Такле;Норвегия;61,02;5,38;38;0;Takle
01320;Сандане / Анда;Норвегия;61,82;6,10;59;0;Sandane/Anda
01321;Стрюн;Норвегия;61,91;6,55;208;0;Stryn
01322;Форде-Тефре;Норвегия;61,46;5,93;64;0;Forde-Tefre
01323;Форде/Брингеландзасен;Норвегия;61,39;5,76;318;0;Forde/Bringelandsasen
01325;Модален II;Норвегия;60,83;5,95;114;0;Modalen II
01326;Мудален;Норвегия;60,85;5,97;125;0;Modalen
01327;Квамскоген-Йонсхогди;Норвегия;60,38;5,96;455;0;Kvamskogen-Jonshogdi
01328;Квамскоген;Норвегия;60,40;5,91;;0;Kvamskogen
01329;Квамсой;Норвегия;60,35;6,27;49;0;Kvamsoy
01330;Омаштранд;Норвегия;60,21;5,98;6;0;Omastrand
01332;Фьерланд-Бремусет;Норвегия;61,42;6,76;3;0;Fjaerland-Bremuseet
01334;Фьерланд-Шарестад;Норвегия;61,43;6,76;10;0;Fjerland Skarestad
01336;Булкен;Норвегия;60,64;6,22;328;0;Bulken
01337;Воссеванген;Норвегия;60,62;6,42;54;0;Vossevangen
01338;Вангснес;Норвегия;61,17;6,64;49;0;Vangsnes
01340;Фет I Эидфьорд;Норвегия;60,40;7,27;735;0;Fet I Eidfjord
01341;Эйдфьорд;Норвегия;60,46;6,86;166;0;Eidfjord-Bu
01342;Улленсванг;Норвегия;60,31;6,65;12;0;Ullensvang herad
01344;Мьёлфьель;Норвегия;60,70;6,93;695;0;Mjolfjell
01345;Клеваватнет;Норвегия;60,71;7,20;960;0;Klevavatnet
01346;Мидтстова;Норвегия;60,65;7,27;1162;0;Midtstova
01347;Зогндал / Хаукасен;Норвегия;61,15;7,14;498;0;Sogndal/Haukasen
01350;Финсеватн;Норвегия;60,59;7,53;1210;0;Finsevatn
01352;Сандхауг;Норвегия;60,18;7,48;1250;0;Sandhaug
01355;Лаердал IV;Норвегия;61,10;7,50;2;0;Laerdal IV
01356;Фаннараки;Норвегия;61,51;7,90;2062;0;Fannaraki
01357;Холлекёльтен;Норвегия;60,87;8,51;804;0;Hollekolten
01358;Хемседал;Норвегия;60,85;8,59;604;0;Hemsedal
01359;Геило-Олдебратен;Норвегия;60,52;8,19;772;0;Geilo-Oldebraten
01360;Брата;Норвегия;61,89;7,89;664;0;Brata
01361;Гротли III;Норвегия;62,01;7,66;872;0;Grotli Iii
01362;Юввассхой;Норвегия;61,67;8,37;1894;0;Juvvasshoe
01363;Дагали а/п;Норвегия;60,41;8,50;798;0;Dagali AP
01364;Гейло-Гейлостолен;Норвегия;61,17;8,11;956;0;Geilo-Geilostolen
01365;Беитостолен II;Норвегия;61,25;8,92;965;0;Beitostolen II
01366;Зогнефьель;Норвегия;61,56;7,99;1413;0;Sognefjell
01367;Фагернес;Норвегия;60,98;9,23;365;0;Fagernes
01368;Фагернес-Леирин;Норвегия;61,01;9,29;822;0;Fagernes Leirin
01369;Асбиорсбратен;Норвегия;60,91;9,29;639;0;Asbjorsbraten
01370;Скабу;Норвегия;61,53;9,40;928;0;Skabu
01371;Локен И Волбу;Норвегия;61,12;9,06;521;0;Loken I Volbu
01372;Несбаен-Скоглунд;Норвегия;60,56;9,13;167;0;Nesbyen-Skoglund
01373;Несбиен-Тодок;Норвегия;60,56;9,13;166;0;Nesbyen-Todokk
01374;Вест-Торпа II;Норвегия;60,93;10,03;542;0;Vest-Torpa II
01375;Квитфьель;Норвегия;61,46;10,12;1030;0;Kvitfjell
01376;Галсвик II;Норвегия;60,38;9,60;142;0;Gulsvik II
01378;Лиллехаммер;Норвегия;61,09;10,47;240;0;Lillehammer-Saetherengen
01379;Сор-Нессет;Норвегия;61,88;10,15;;0;Sor-Nesset
01380;Венабу;Норвегия;61,65;10,10;930;0;Venabu
01381;Апелсвол;Норвегия;60,70;10,86;264;0;Apelsvoll
01382;Кисе;Норвегия;60,77;10,80;128;0;Kise
01383;Эвенштад-Оверенгет;Норвегия;61,42;11,08;257;0;Evenstad-Overenget
01384;Осло / Гардермоэн;Норвегия;60,20;11,08;202;0;Oslo/Gardermoen
01385;Хамер-Ставсберг;Норвегия;60,81;11,06;221;0;Hamer-Stavsberg
01386;Хамар II;Норвегия;60,80;11,09;132;0;Hamar II
01387;Фаванг;Норвегия;61,45;10,18;200;0;Favang
01389;Рена-Хаугедален;Норвегия;61,18;11,37;255;0;Rena-Haugedalen
01392;Флиза II;Норвегия;60,61;12,01;185;0;Flisa II
01393;Древшё;Норвегия;61,88;12,03;672;0;Drevsjo
01397;Трисиль;Норвегия;61,29;12,27;360;0;Trysil Vegstasjon
01400;Екофиск;Норвегия;56,50;3,20;50;0;Ekofisk
01401;Фригг;Норвегия;59,98;2,25;48;0;Frigg
01403;Утсира;Норвегия;59,30;4,87;55;0;Utsira Fyr
01406;Слаттерой;Норвегия;59,90;5,06;25;0;Slatteroy Fyr
01408;Хаугезунд / Кармой;Норвегия;59,34;5,19;26;0;Haugesund/Karmoy
01409;Скуденес;Норвегия;59,15;5,25;7;0;Skudenes
01411;Квитсой-Нордбо;Норвегия;59,07;5,41;21;0;Kvitsoy - Nordbo
01412;Оберштад;Норвегия;58,65;5,55;24;0;Obrestad
01413;Саерхеим;Норвегия;58,76;5,65;87;0;Saerheim
01414;Ровер;Норвегия;59,43;5,07;25;0;Rover
01415;Ставангер / Сола;Норвегия;58,88;5,63;7;0;Stavanger/Sola
01416;Ставангер;Норвегия;58,95;5,73;72;0;Stavanger
01417;Недре-Ватс;Норвегия;59,48;5,75;64;0;Nedre Vats
01418;Эустеволл;Норвегия;60,01;5,20;32;0;Austevoll
01419;Лиарватн;Норвегия;59,05;6,12;300;0;Liarvatn
01422;Фистер Сигмундстад;Норвегия;59,15;6,03;30;0;Fister Sigmundstad
01424;Сауда;Норвегия;59,64;6,36;5;0;Sauda
01425;Айк-Хофе;Норвегия;58,50;6,50;65;0;Eik Hove
01426;Ейгероя;Норвегия;58,43;5,87;49;0;Eigeroya
01427;Листа;Норвегия;58,10;6,56;14;0;Lista Fyr
01428;Листа а/п;Норвегия;58,10;6,63;10;0;Lista Flyplass
01429;Ролдалсфьеллет;Норвегия;59,83;6,73;10;0;Roldalsfjellet
01430;Мандал III;Норвегия;58,02;7,45;10;0;Mandal III
01431;Сирдаль-Синнес;Норвегия;58,92;6,90;560;0;Sirdal-Sinnes
01432;Сирдаль-Тьёрхом;Норвегия;58,88;6,85;500;0;Sirdal-Tjorhom
01433;Мидтлагер;Норвегия;59,83;6,99;1079;0;Midtlaeger
01434;Ваагсли;Норвегия;59,76;7,36;821;0;Vaagsli
01436;Линдеснес;Норвегия;57,98;7,04;13;0;Lindesnes Fyr
01439;Консмо-Хойланд;Норвегия;58,26;7,38;263;0;Konsmo-Hoyland
01440;Бласйо;Норвегия;59,34;6,87;1050;0;Blasjo
01441;Хавден-Лундане;Норвегия;59,59;7,41;841;0;Hovden-Lundane
01442;Бюгландсфьорд-Солбакк;Норвегия;58,66;7,80;212;0;Byglandsfjord-Solbakk
01444;Валле;Норвегия;59,20;7,53;302;0;Valle
01446;Ойфьель-Троватн;Норвегия;59,56;8,20;714;0;Oyfjell-Trovatn
01447;Хойдалсмо 2;Норвегия;59,49;8,19;560;0;Hoydalsmo II
01448;Оксой;Норвегия;58,07;8,05;9;0;Oksoy Fyr
01449;Ерстад;Норвегия;58,86;9,02;32;0;Gjerstad
01450;Мосштранд II;Норвегия;59,83;8,17;977;0;Mosstrand II
01452;Кристиансанд / Кьевик;Норвегия;58,20;8,07;12;0;Kristiansand/Kjevik
01453;Хинеклеив;Норвегия;58,60;8,41;162;0;Hynnekleiv
01455;Твайтзунд;Норвегия;59,02;8,52;252;0;Tveitsund
01459;Нелауг;Норвегия;58,65;8,63;142;0;Nelaug
01461;Гаустатоппен;Норвегия;59,84;8,65;1804;0;Gaustatoppen
01463;Ос;Норвегия;59,66;10,78;89;0;As
01464;Ландвик;Норвегия;58,34;8,52;6;0;Landvik
01465;Трюнген;Норвегия;58,39;8,78;12;0;Torungen Fyr
01466;Кйелер;Норвегия;59,97;11,03;108;0;Kjeller
01467;Люнгор;Норвегия;58,63;9,15;4;0;Lyngor Fyr
01468;Конгсвингер;Норвегия;60,19;12,00;148;0;Kongsvinger
01469;Хонефосс-Хойби;Норвегия;60,16;10,24;140;0;Honefoss-Hoyby
01470;Гварв;Норвегия;59,38;9,20;93;0;Gvarv
01471;Вегли II;Норвегия;60,04;9,14;275;0;Veggli II
01473;Конгсберг;Норвегия;59,62;9,63;172;0;Kongsberg Brannstasjon
01474;Люнгдаль-и-Нумедаль;Норвегия;59,90;9,53;294;0;Lyngdal I Numedal
01475;Шиен-Гайтерюгген;Норвегия;59,18;9,56;141;0;Skien-Geiteryggen
01476;Йомфруланд;Норвегия;58,85;9,57;5;0;Jomfruland Fyr
01477;Конгсберг IV;Норвегия;59,71;10,14;193;0;Kongsberg IV
01478;Свеннер;Норвегия;58,96;10,14;15;0;Svenner
01480;Драммен-Бершог;Норвегия;59,75;10,12;8;0;Drammen Berskog
01481;Мельсом;Норвегия;59,22;10,34;26;0;Melsom
01482;Фердер;Норвегия;59,02;10,52;6;0;Ferder Fyr
01483;Торп;Норвегия;59,18;10,25;88;0;Torp
01484;Эурскуг-Хёланн;Норвегия;59,91;11,57;128;0;Aurskog-Holand
01485;Санне;Норвегия;59,61;10,21;60;0;Sande
01486;Аскер;Норвегия;59,85;10,43;163;0;Asker
01487;Ална;Норвегия;59,92;10,83;90;0;Alna
01488;Хакадал;Норвегия;60,11;10,82;170;0;Hakadal
01489;Бйорнхольт;Норвегия;60,05;10,68;360;0;Bjornholt
01490;Трувассхогда;Норвегия;59,98;10,66;514;0;Tryvasshogda
01492;Осло-Блиндерн;Норвегия;59,94;10,72;94;0;Oslo-Blindern
01493;Сарпсборг;Норвегия;59,28;11,11;57;0;Sarpsborg
01494;Рюгге;Норвегия;59,38;10,78;40;0;Rygge
01495;Штормтанген;Норвегия;59,15;10,82;10;0;Stromtangen Fyr
01496;Холанд-Фоссер;Норвегия;59,81;11,48;154;0;Holand-Fosser
01497;Престебакке;Норвегия;59,00;11,53;157;0;Prestebakke
01498;Магнор;Норвегия;59,96;12,21;153;0;Magnor
01500;Раккестад;Норвегия;59,38;11,38;100;0;Rakkestad
02013;Ритсем;Швеция;67,72;17,47;541;0;Ritsem
02019;Каттеряк;Швеция;68,42;18,16;514;0;Katterjakk
02020;Каттеряк;Швеция;68,42;18,17;516;0;Katterjakk
02024;Стора Сёефаллет;Швеция;67,49;18,29;425;0;Stora Sjoefallet
02028;Тарфала;Швеция;67,91;18,60;1144;0;Tarfala
02029;Тарфала;Швеция;67,91;18,60;1144;0;Tarfala
02031;Ренсёен;Швеция;68,07;19,83;493;0;Rensjoen
02036;Никкалуокта;Швеция;67,85;19,02;466;0;Nikkaluokta
02038;Латниваара;Швеция;67,25;20,27;453;0;Latnivaara
02043;Эсранге;Швеция;67,90;21,06;351;0;Esrange
02044;Кируна;Швеция;67,82;20,34;460;0;Kiruna
02045;Кируна;Швеция;67,84;20,41;424;0;Kiruna
02049;Галливаре;Швеция;67,14;20,64;358;0;Gallivare
02054;Недре Сопперо;Швеция;68,04;21,75;360;0;Nedre Soppero
02055;Наимакка;Швеция;68,67;21,52;402;0;Naimakka
02064;Саиттавора;Швеция;67,33;22,23;240;0;Saittarova
02071;Норрчёпинг;Швеция;58,58;16,14;55;0;Norrkoping
02072;Поркаломполо;Швеция;67,73;22,82;312;0;Porkalompolo
02080;Каресуандо;Швеция;68,44;22,45;330;0;Karesuando
02081;Каресуандо;Швеция;68,44;22,44;329;0;Karesuando
02091;Висби;Швеция;57,67;18,34;49;0;Visby
02095;Паяла;Швеция;67,20;23,39;163;0;Pajala
02096;Паяла;Швеция;67,21;23,40;168;0;Pajala
02101;Хемаван;Швеция;65,80;15,08;458;0;Hemavan
02102;Стекенйокк;Швеция;65,09;14,50;1036;0;Stekenjokk
02103;Хемаван-Гиерварто;Швеция;65,78;15,06;793;0;Hemavan-Gierevarto
02104;Хемаван;Швеция;65,80;15,10;473;0;Hemavan
02110;Гиелас;Швеция;65,32;15,06;577;0;Gielas
02119;Квиккйокк-Арренъярка;Швеция;66,88;18,01;314;0;Kvikkjokk Arrenjarka
02120;Квиккйок-Арренярка;Швеция;66,88;18,01;320;0;Kvikkjokk-Arrenjarka
02121;Миеркенис;Швеция;66,68;16,10;614;0;Mierkenis
02123;Яквик;Швеция;66,32;17,09;552;0;Jakkvik
02124;Аръеплог;Швеция;66,05;17,83;431;0;Arjeplog
02126;Гуннарн;Швеция;65,00;17,69;275;0;Gunnarn
02128;Гуннарн;Швеция;65,01;17,68;280;0;Gunnarn
02130;Ропарудден;Швеция;66,48;16,41;481;0;Roparudden
02135;Буресйоен;Швеция;65,55;17,86;393;0;Buresjoen
02141;Тьякаапе;Швеция;66,30;19,20;581;0;Tjakaape
02146;Ваймат;Швеция;66,50;19,67;324;0;Vajmat
02147;Мала-Браеннан;Швеция;65,15;18,59;362;0;Malaa-Braennan
02149;Арвидсъяур;Швеция;65,59;19,26;382;0;Arvidsjaur
02151;Йокмокк;Швеция;66,48;20,16;275;0;Jokkmokk Fpl
02154;Видзель;Швеция;65,86;20,15;182;0;Vidsel
02159;Фалфорс;Швеция;65,11;20,76;180;0;Fallfors
02161;Наттаваара;Швеция;66,75;20,92;327;0;Nattavaara
02170;Саваст;Швеция;65,75;21,76;12;0;Savast
02171;Боден;Швеция;65,80;21,63;25;0;Boden
02173;Аэлвсбун;Швеция;65,67;21,06;43;0;Aelvsbyn
02174;Лакатраеск;Швеция;66,28;21,13;184;0;Lakatraesk
02176;Питэ-Роннскар;Швеция;65,03;21,56;4;0;Pite-Ronnskar
02181;Стартбун;Швеция;66,26;22,84;60;0;Startbyn
02183;Лулеа;Швеция;65,54;22,11;32;0;Lulea
02184;Пахарова;Швеция;66,81;22,33;227;0;Paharova
02186;Лулеа-Каллакс;Швеция;65,54;22,12;17;0;Lulea-Kallax
02188;Родкаллен;Швеция;65,31;22,37;1;0;Rodkallen
02191;Стороен;Швеция;65,69;23,10;3;0;Storoen
02196;Хапаранда;Швеция;65,83;24,10;6;0;Haparanda
02197;Хапаранда;Швеция;65,82;24,11;13;0;Haparanda A
02199;Улиненйаерви;Швеция;66,62;23,46;132;0;Ylinenjaervi
02206;Сторлиен;Швеция;63,28;12,13;583;0;Storlien
02207;Сторлиен-Висйовален;Швеция;63,28;12,12;583;0;Storlien-Visjovalen
